t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
0.0856,joint,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000019,0.000000,2.000000,0.000019,0.000000
0.0908,joint,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000023,0.000000,2.000000,0.000023,0.000000
0.1006,joint,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000031,0.000000,2.000000,0.000031,0.000000
0.1110,joint,0.000021,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000042,0.000000,2.000000,0.000042,0.000000
0.1206,joint,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000054,0.000000,2.000000,0.000054,0.000000
0.1316,joint,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000069,0.000000,2.000000,0.000069,0.000000
0.1410,joint,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000085,0.000000,2.000000,0.000085,0.000000
0.1505,joint,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000103,0.000000,2.000000,0.000103,0.000000
0.1605,joint,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000125,0.000000,2.000000,0.000125,0.000000
0.1711,joint,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000152,0.000000,2.000000,0.000152,0.000000
0.1804,joint,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000177,0.000000,2.000000,0.000177,0.000000
0.1905,joint,0.000104,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000208,0.000000,2.000000,0.000208,0.000000
0.2004,joint,0.000121,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000242,0.000000,2.000000,0.000242,0.000000
0.2103,joint,0.000140,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000279,0.000000,2.000000,0.000279,0.000000
0.2204,joint,0.000160,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000321,0.000000,2.000000,0.000321,0.000000
0.2308,joint,0.000184,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000368,0.000000,2.000000,0.000368,0.000000
0.2408,joint,0.000209,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000417,0.000000,2.000000,0.000417,0.000000
0.2506,joint,0.000235,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000469,0.000000,2.000000,0.000469,0.000000
0.2609,joint,0.000264,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000528,0.000000,2.000000,0.000528,0.000000
0.2708,joint,0.000295,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000589,0.000000,2.000000,0.000589,0.000000
0.2816,joint,0.000331,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000661,0.000000,2.000000,0.000661,0.000000
0.2911,joint,0.000365,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000730,0.000000,2.000000,0.000730,0.000000
0.3012,joint,0.000403,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000807,0.000000,2.000000,0.000807,0.000000
0.3107,joint,0.000442,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000884,0.000000,2.000000,0.000884,0.000000
0.3208,joint,0.000485,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000970,0.000000,2.000000,0.000970,0.000000
0.3308,joint,0.000531,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.001062,0.000000,2.000000,0.001062,0.000000
0.3410,joint,0.000581,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.001161,0.000000,2.000000,0.001161,0.000000
0.3507,joint,0.000631,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.001261,0.000000,2.000000,0.001261,0.000000
0.3606,joint,0.000684,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.001368,0.000000,2.000000,0.001368,0.000000
0.3711,joint,0.000744,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.001488,0.000000,1.999999,0.001488,0.000000
0.3811,joint,0.000804,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.001609,0.000000,1.999999,0.001609,0.000000
0.3910,joint,0.000867,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.001733,0.000000,1.999999,0.001733,0.000000
0.4011,joint,0.000934,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.001868,0.000000,1.999999,0.001868,0.000000
0.4107,joint,0.001001,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.002002,0.000000,1.999999,0.002002,0.000000
0.4207,joint,0.001074,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.002147,0.000000,1.999999,0.002147,0.000000
0.4313,joint,0.001155,0.000000,0.000000,0.000000,0.000000,0.000000,1.999999,0.002309,0.000000,1.999999,0.002309,0.000000
0.4428,joint,0.001247,0.000000,0.000000,0.000000,0.000000,0.000000,1.999998,0.002493,0.000000,1.999998,0.002493,0.000000
0.4505,joint,0.001311,0.000000,0.000000,0.000000,0.000000,0.000000,1.999998,0.002622,0.000000,1.999998,0.002622,0.000000
0.4608,joint,0.001400,0.000000,0.000000,0.000000,0.000000,0.000000,1.999998,0.002800,0.000000,1.999998,0.002800,0.000000
0.4706,joint,0.001488,0.000000,0.000000,0.000000,0.000000,0.000000,1.999998,0.002977,0.000000,1.999998,0.002977,0.000000
0.4811,joint,0.001587,0.000000,0.000000,0.000000,0.000000,0.000000,1.999997,0.003174,0.000000,1.999997,0.003174,0.000000
0.4908,joint,0.001682,0.000000,0.000000,0.000000,0.000000,0.000000,1.999997,0.003363,0.000000,1.999997,0.003363,0.000000
0.5016,joint,0.001791,0.000000,0.000000,0.000000,0.000000,0.000000,1.999997,0.003583,0.000000,1.999997,0.003583,0.000000
0.5108,joint,0.001888,0.000000,0.000000,0.000000,0.000000,0.000000,1.999996,0.003776,0.000000,1.999996,0.003776,0.000000
0.5208,joint,0.001997,0.000000,0.000000,0.000000,0.000000,0.000000,1.999996,0.003994,0.000000,1.999996,0.003994,0.000000
0.5313,joint,0.002116,0.000000,0.000000,0.000000,0.000000,0.000000,1.999996,0.004231,0.000000,1.999996,0.004231,0.000000
0.5420,joint,0.002241,0.000000,0.000000,0.000000,0.000000,0.000000,1.999995,0.004483,0.000000,1.999995,0.004483,0.000000
0.5507,joint,0.002348,0.000000,0.000000,0.000000,0.000000,0.000000,1.999994,0.004695,0.000000,1.999994,0.004695,0.000000
0.5619,joint,0.002488,0.000000,0.000000,0.000000,0.000000,0.000000,1.999994,0.004975,0.000000,1.999994,0.004975,0.000000
0.5707,joint,0.002602,0.000000,0.000000,0.000000,0.000000,0.000000,1.999993,0.005205,0.000000,1.999993,0.005205,0.000000
0.5817,joint,0.002750,0.000000,0.000000,0.000000,0.000000,0.000000,1.999992,0.005501,0.000000,1.999992,0.005501,0.000000
0.5910,joint,0.002879,0.000000,0.000000,0.000000,0.000000,0.000000,1.999992,0.005758,0.000000,1.999992,0.005758,0.000000
0.6017,joint,0.003032,0.000000,0.000000,0.000000,0.000000,0.000000,1.999991,0.006064,0.000000,1.999991,0.006064,0.000000
0.6107,joint,0.003164,0.000000,0.000000,0.000000,0.000000,0.000000,1.999990,0.006327,0.000000,1.999990,0.006327,0.000000
0.6208,joint,0.003317,0.000000,0.000000,0.000000,0.000000,0.000000,1.999989,0.006634,0.000000,1.999989,0.006634,0.000000
0.6316,joint,0.003486,0.000000,0.000000,0.000000,0.000000,0.000000,1.999988,0.006972,0.000000,1.999988,0.006972,0.000000
0.6413,joint,0.003641,0.000000,0.000000,0.000000,0.000000,0.000000,1.999987,0.007283,0.000000,1.999987,0.007283,0.000000
